Valeur;Date
422.0000;2020-05-04 20:25:58.094829
422.0000;2020-05-04 20:26:00.472519
422.0000;2020-05-04 20:26:02.952892
422.0000;2020-05-04 20:26:05.301409
422.0000;2020-05-04 20:26:07.662442
422.0000;2020-05-04 20:26:09.988570
422.0000;2020-05-04 20:26:12.415186
422.0000;2020-05-04 20:26:14.748082
422.2350;2020-05-04 20:26:17.092402
422.2350;2020-05-04 20:26:19.527478
422.2350;2020-05-04 20:26:21.865852
422.1500;2020-05-04 20:26:24.317813
422.1500;2020-05-04 20:26:26.677315
422.1500;2020-05-04 20:26:29.009439
422.1500;2020-05-04 20:26:31.339996
422.1500;2020-05-04 20:26:33.751111
422.2100;2020-05-04 20:26:36.114525
422.2100;2020-05-04 20:26:38.451200
422.2100;2020-05-04 20:26:40.800637
422.6400;2020-05-04 20:26:43.266388
422.6400;2020-05-04 20:26:45.601278
422.2250;2020-05-04 20:26:48.129262
422.5650;2020-05-04 20:26:50.428759
422.5650;2020-05-04 20:26:52.718100
422.5650;2020-05-04 20:26:55.141007
422.5650;2020-05-04 20:26:57.461524
422.5650;2020-05-04 20:26:59.761439
422.7950;2020-05-04 20:27:02.062480
422.7950;2020-05-04 20:27:04.450287
422.7950;2020-05-04 20:27:06.767239
422.7750;2020-05-04 20:27:09.048433
422.7750;2020-05-04 20:27:11.385362
422.7750;2020-05-04 20:27:13.803912
423.0000;2020-05-04 20:27:16.076588
423.0000;2020-05-04 20:27:18.375116
423.0000;2020-05-04 20:27:20.685414
423.1400;2020-05-04 20:27:22.976606
423.1400;2020-05-04 20:27:25.359194
423.1400;2020-05-04 20:27:27.665425
423.1400;2020-05-04 20:27:29.960420
423.1400;2020-05-04 20:27:32.256370
423.1400;2020-05-04 20:27:34.632604
423.2300;2020-05-04 20:27:36.917391
423.2300;2020-05-04 20:27:39.209069
423.2300;2020-05-04 20:27:41.517399
423.1300;2020-05-04 20:27:43.901018
423.1300;2020-05-04 20:27:46.187743
423.1300;2020-05-04 20:27:48.506398
423.0849;2020-05-04 20:27:50.821634
423.0849;2020-05-04 20:27:53.186316
423.0849;2020-05-04 20:27:55.510247
423.1600;2020-05-04 20:27:57.817238
423.1600;2020-05-04 20:28:00.124260
423.1600;2020-05-04 20:28:02.421601
423.1600;2020-05-04 20:28:04.819572
423.1600;2020-05-04 20:28:07.151823
423.1600;2020-05-04 20:28:09.449273
423.1600;2020-05-04 20:28:11.712057
423.1600;2020-05-04 20:28:14.127016
423.1600;2020-05-04 20:28:16.424095
423.1600;2020-05-04 20:28:18.711489
422.8475;2020-05-04 20:28:20.992275
422.8475;2020-05-04 20:28:23.376780
422.8475;2020-05-04 20:28:25.675183
422.8546;2020-05-04 20:28:27.982319
422.8546;2020-05-04 20:28:30.263480
422.8546;2020-05-04 20:28:32.569179
422.7993;2020-05-04 20:28:35.004131
422.7993;2020-05-04 20:28:37.334433
422.9150;2020-05-04 20:28:39.685557
422.9150;2020-05-04 20:28:41.968816
422.9150;2020-05-04 20:28:44.353201
423.0600;2020-05-04 20:28:46.656493
423.0600;2020-05-04 20:28:48.952447
423.0800;2020-05-04 20:28:51.259196
423.0800;2020-05-04 20:28:53.631108
423.0800;2020-05-04 20:28:55.925188
422.9500;2020-05-04 20:28:58.234409
422.9500;2020-05-04 20:29:00.540417
422.9500;2020-05-04 20:29:02.949129
423.0400;2020-05-04 20:29:05.371380
423.0400;2020-05-04 20:29:07.702935
423.0400;2020-05-04 20:29:09.979530
423.0400;2020-05-04 20:29:12.300164
423.0400;2020-05-04 20:29:14.694376
423.0000;2020-05-04 20:29:17.027215
423.0000;2020-05-04 20:29:19.343108
423.0000;2020-05-04 20:29:21.634802
423.0000;2020-05-04 20:29:23.994647
423.0000;2020-05-04 20:29:26.277246
423.0000;2020-05-04 20:29:28.557387
422.8546;2020-05-04 20:29:30.893199
423.0100;2020-05-04 20:29:33.238539
423.0100;2020-05-04 20:29:35.753895
423.0100;2020-05-04 20:29:38.164286
423.0100;2020-05-04 20:29:40.532069
423.0100;2020-05-04 20:29:42.986355
423.0100;2020-05-04 20:29:45.438072
423.0100;2020-05-04 20:29:47.800157
423.0100;2020-05-04 20:29:50.149924
423.0100;2020-05-04 20:29:52.578151
423.0100;2020-05-04 20:29:54.986078
423.0100;2020-05-04 20:29:57.338098
423.0100;2020-05-04 20:29:59.677935
423.0100;2020-05-04 20:30:02.085391
423.0100;2020-05-04 20:30:04.867886
423.0100;2020-05-04 20:30:07.295058
422.8865;2020-05-04 20:30:09.656324
422.8865;2020-05-04 20:30:12.010560
422.8865;2020-05-04 20:30:14.380468
422.8865;2020-05-04 20:30:16.834218
423.0000;2020-05-04 20:30:19.146079
423.0000;2020-05-04 20:30:21.502717
423.0000;2020-05-04 20:30:23.823427
423.2400;2020-05-04 20:30:26.281473
423.2400;2020-05-04 20:30:28.642262
423.2400;2020-05-04 20:30:31.067105
423.2400;2020-05-04 20:30:33.445618
423.0100;2020-05-04 20:30:35.752520
423.2400;2020-05-04 20:30:38.126254
423.2400;2020-05-04 20:30:40.442101
423.2400;2020-05-04 20:30:42.738164
423.2000;2020-05-04 20:30:45.032865
423.2000;2020-05-04 20:30:47.430327
423.2000;2020-05-04 20:30:49.721440
423.2000;2020-05-04 20:30:52.002652
423.2000;2020-05-04 20:30:54.289895
423.2000;2020-05-04 20:30:56.656546
423.2200;2020-05-04 20:30:58.980559
423.2200;2020-05-04 20:31:01.278235
423.2200;2020-05-04 20:31:03.583243
423.2200;2020-05-04 20:31:05.896081
423.2200;2020-05-04 20:31:08.329053
423.2200;2020-05-04 20:31:10.641000
423.1250;2020-05-04 20:31:12.969360
423.1250;2020-05-04 20:31:15.316632
423.1250;2020-05-04 20:31:17.679891
423.0600;2020-05-04 20:31:20.035562
423.0600;2020-05-04 20:31:22.328381
423.0600;2020-05-04 20:31:24.637166
423.0500;2020-05-04 20:31:27.062421
423.0500;2020-05-04 20:31:29.381580
423.0500;2020-05-04 20:31:31.670318
422.9850;2020-05-04 20:31:33.952385
422.9850;2020-05-04 20:31:36.297279
422.9850;2020-05-04 20:31:38.711372
422.9850;2020-05-04 20:31:41.028472
422.9850;2020-05-04 20:31:43.317583
422.9850;2020-05-04 20:31:45.606290
422.9850;2020-05-04 20:31:47.959068
422.9850;2020-05-04 20:31:50.253549
422.9850;2020-05-04 20:31:52.528872
423.0500;2020-05-04 20:31:54.806728
423.0500;2020-05-04 20:31:57.217654
423.0500;2020-05-04 20:31:59.528605
422.9600;2020-05-04 20:32:01.884375
422.9600;2020-05-04 20:32:04.217869
422.9600;2020-05-04 20:32:06.557543
422.9600;2020-05-04 20:32:08.943458
422.9600;2020-05-04 20:32:11.243297
422.9600;2020-05-04 20:32:13.555802
422.9200;2020-05-04 20:32:15.861238
422.9200;2020-05-04 20:32:18.270421
422.9200;2020-05-04 20:32:20.580164
422.9900;2020-05-04 20:32:22.859154
422.9900;2020-05-04 20:32:25.198030
422.9900;2020-05-04 20:32:27.570226
422.9050;2020-05-04 20:32:29.869173
422.9050;2020-05-04 20:32:32.147793
422.9050;2020-05-04 20:32:34.436993
422.8736;2020-05-04 20:32:36.738648
422.8736;2020-05-04 20:32:39.127431
